Gene,Ensembl,Gene description,Uniprot,Pathology prognostics - Pancreatic cancer,TAU score - Tissue
NOTCH2,ENSG00000134250,Notch receptor 2,['Q04721'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.48e-4'}",0.18
NTN4,ENSG00000074527,Netrin 4,['Q9HB63'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.50e-4'}",0.41
MT2A,ENSG00000125148,Metallothionein 2A,['P02795'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.52e-4'}",0.29
ABCC3,ENSG00000108846,ATP binding cassette subfamily C member 3,['O15438'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.57e-4'}",0.65
ARHGAP29,ENSG00000137962,Rho GTPase activating protein 29,['Q52LW3'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.63e-4'}",0.33
MYL12B,ENSG00000118680,Myosin light chain 12B,['O14950'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.69e-4'}",0.10
HNRNPL,ENSG00000104824,Heterogeneous nuclear ribonucleoprotein L,['P14866'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.69e-4'}",0.14
SLC6A14,ENSG00000268104,Solute carrier family 6 member 14,['Q9UN76'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.74e-4'}",0.81
ZC3H15,ENSG00000065548,Zinc finger CCCH-type containing 15,['Q8WU90'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.75e-4'}",0.23
NUF2,ENSG00000143228,NUF2 component of NDC80 kinetochore complex,['Q9BZD4'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.75e-4'}",0.78
GMNN,ENSG00000112312,Geminin DNA replication inhibitor,['O75496'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.77e-4'}",0.48
OSBPL8,ENSG00000091039,Oxysterol binding protein like 8,['Q9BZF1'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.79e-4'}",0.22
FGF2,ENSG00000138685,Fibroblast growth factor 2,['P09038'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.85e-4'}",0.44
TC2N,ENSG00000165929,"Tandem C2 domains, nuclear",['Q8N9U0'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.86e-4'}",0.52
ROCK1,ENSG00000067900,Rho associated coiled-coil containing protein kinase 1,['Q13464'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.93e-4'}",0.43
PHF6,ENSG00000156531,PHD finger protein 6,['Q8IWS0'],"{'prognostic type': 'unfavorable', 'is_prognostic': True, 'p_val': '9.96e-4'}",0.34
